Text,Sentimen
KA 2176 Tanah AbangParung Panjang terakhir menunggu transit penumpang KA 5075 CikarangManggaraiAngke dan KA 6094 Kampung BandanManggarai di Stasiun Tanah Abang |2,Positif
KA 2366 DuriTangerang terakhir menunggu transit penumpang KA 5075 CikarangManggaraiAngke di Stasiun Duri |3,Negatif
KA 2366 DuriTangerang terakhir menunggu transit penumpang KA 5075 CikarangManggaraiAngke di Stasiun Duri |3,Negatif
KA 2366 DuriTangerang terakhir menunggu transit penumpang KA 5075 CikarangManggaraiAngke di Stasiun Duri |3,Negatif
KA 4450 Jakarta KotaBogor terakhir menunggu transit  KA 6096 Kampung BandanManggaraiCikarang dan KA 5077 BekasiAngke di Stasiun Manggarai |5,Positif
KA 4450 Jakarta KotaBogor terakhir menunggu transit  KA 6096 Kampung BandanManggaraiCikarang dan KA 5077 BekasiAngke di Stasiun Manggarai |5,Positif
KA 4450 Jakarta KotaBogor terakhir menunggu transit  KA 6096 Kampung BandanManggaraiCikarang dan KA 5077 BekasiAngke di Stasiun Manggarai |5,Positif
KA 6096 Kampung BandanManggaraiCikarang terakhir menunggu transit penumpang KA 4455 BogorManggarai di Stasiun Manggarai |4,Positif
KA 6096 Kampung BandanManggaraiCikarang terakhir menunggu transit penumpang KA 4455 BogorManggarai di Stasiun Manggarai |4,Positif
KA 6096 Kampung BandanManggaraiCikarang terakhir menunggu transit penumpang KA 4455 BogorManggarai di Stasiun Manggarai |4,Positif
Ke stasiun gondang dia transit dari tanah Abang bisa langsung apa harus ke Manggarai dulu  Infoneeee mazehhhhh,Negatif
Ketemu stasiun manggarai lagi,Negatif
Komut KAI = Said Aqil,Positif
liputan6dotcom Stasiun Matraman merupakan stasiun di antara Jatinegara dengan stasiun Manggarai Fungsinya mengurangi beban stasiun Ma…,Positif
Mati 3 Kali Ada Apa dengan Eskalator Stasiun Manggarai erickthohir CommuterLine BudiKaryaS,Negatif
Menteri Perhubungan Budi Karya Sumadi bersama Menteri Koperasi dan Usaha Kecil dan Menengah UKM Teten Masduki membuka soft launching Stasiun Shelter Matraman di Kampung Melayu Jakarta Timur Minggu 19/6 Menhub berharap 20 ribu penumpang bisa naik,Positif
Mobilmobil tersebut terparkir tepat di bawah rambu dilarang parkir yang tertulis peringatan denda penderekan Rp 500000/hari,Negatif
Mobilmobil tersebut terparkir tepat di bawah rambu dilarang parkir yang tertulis peringatan denda penderekan Rp 500000/hari,Negatif
mona11011972 Selamat siang Utk rute Tanjung BaratPasar Senen silakan transit di Stasiun Manggarai lalu berpindah KRL ManggaraiJatinegara kemudian transit kembali berpindah KRL JatinegaraPasar Senen |1,Positif
Mulai tanggal 28 Mei 2022 di Stasiun Manggarai KRL Lin BogorDepokNambo hanya menuju Jakarta Kota melalui jalur layang Sedangkan tujuan Tanah Abang Kampung Bandan Angke Duri akan dilayani dengan KRL CikarangBekasi di peron 6 atau 7,Negatif
Mulai tanggal 28 Mei 2022 di Stasiun Manggarai KRL Lin BogorDepokNambo hanya menuju Jakarta Kota melalui jalur layang Sedangkan tujuan Tanah Abang Kampung Bandan Angke Duri akan dilayani dengan KRL CikarangBekasi di peron 6 atau 7,Negatif
Namanya stasiun Matraman,Positif
PetraisMe codernubie saturnomeus kalo soal ini setuju harusnya kawasan stasiun manggarai udah mulai dibenahi besar2an tp kayaknya harus ngegusur rumah2 disitu sih dan pasti itu rada dihindari sama gub yg skrg,Negatif
PetraisMe DukuhAtasBNI codernubie saturnomeus Iya merapikan wilayah stasiun manggarai aja gk bisa Harusnya bisa kerjasama antara KAI dengan pemprov DKI Tapi ini program tdk populis dan bisa merusak image yg sdg dibangun gubernur,Negatif
PT_Transjakarta asr0371 Malam kak Stasiun terdekat adalah St Manggarai Pada hari libur silakan dari Halte manggarai naik ke arah To…,Positif
PT_Transjakarta Dulu kan rencana pembangunan koridor 14 dengan rute UI Depok St Manggarai akhirnya di batalkan dan sekarang PT Transjakarta mau bangun koridor bari di 4 stasiun termasuk Manggarai,Positif
PT_Transjakarta hallo min tolong info tj dari stasiun manggarai ke mampang prapatan terimakasih,Negatif
PT_Transjakarta Min rencana Transjakarta mau bangun koridor baru di 4 stasiun KRL 4B dong di buat koridor khusus kan 4B terintergrasi StUP Stlenteng agung sttanjung barat St PSminggu dan St Manggarai dan terintergrasi dengan koridor 9 dan 4,Positif
rapdodge Sore kak Rifqi untuk 3Digibox Stasiun Manggarai saat ini statusnya sudah online ya silakan kakak bisa langsung datang ke Stasiun Manggarai di Jl Manggarai Utara RW1 Manggarai Kec Tebet Kota Jakarta Selatan ya Thanks ^Ina,Positif
rayagung79 Selamat sore KA 4286 Jakarta KotaBogor saat ini tersedia di Stasiun Manggarai ya kak KA tsb mengalami selisih waktu keberangkatan sehubungan adanya pergantian jalur dengan KA Jarak Jauh Kami mohon maaf atas ketidaknyamanannya Tks,Negatif
rencez_23 Stasiun ditengah jatinegara manggarai mba,Positif
republikaonline Stasiun ini berada di antara lintas Stasiun Manggarai dan Stasiun Jatinegara,Positif
sama,Positif
Sanwo18 Pak coba naik kereta dari depok baru ke stasiun tebet pak atau manggarai deh,Positif
scaramousyy Selamat pagi Kak Dapat kami sampaikan untuk tujuan Duri/Angke/Kampung Bandan silakan naik KRL di peron jalur 6/7 Stasiun Manggarai ya Kami imbau untuk tetap memperhatikan informasi dan arahan dari petugas di stasiun |1,Negatif
Selamat sore min mau tanya jadwal kereta ke Manggarai dr stasiun Cibitung berangkat jam 1630 CommuterLine terima kasih,Positif
Sepertinya foto ini trip terakhirku dari dan ke stasiun gambir Besok dah di manggarai turunnya,Positif
shxkrz tanyakanrl Ini di stasiun manggarai,Positif
singgihmahardka Selamat sore Benar demikian kak silakan transit di Stasiun Manggarai kemudian berpindah KRL tujuan Jatinegara ya kak Tks,Positif
SO5StasiunManggarai,Positif
Stasiun  manggarai peron 12,Positif
Stasiun ini berada di antara lintas Stasiun Manggarai dan Stasiun Jatinegara,Positif
stasiun manggarai ujan ga,Positif
Stasiun Matraman berada di antara Jatinegara dan Manggarai,Positif
Stasiun yang mempunyai singkatan MTR ini terletak diantara Stasiun Jatinegara dan Stasiun Manggarai Sisi timur Stasiun langsung terhubung dengan Jalan Raya Matraman Jakarta Timur dan Trans Jakarta Sangat Strategis Bukan  |3,Positif
Syahfarhan10 Selamat malam KRL terakhir dari Stasiun Rajawali transit di Manggarai pukul 2317 WIB Sedangkan KRL terakhir dari Stasiun ManggaraiDepok pukul 0009 WIB Info lengkap pada KRLaccess dan follow commuterline Trims,Positif
TaaufikTR CurhatKRL Hahaha kepikiran gini juga Takut diomelin karena delay terus pas masuk Manggarai bikin lah Stasiun,Negatif
tanyarlfes Naik KRL tujuan Manggarai lalu naik kereta tujuan Bogor kemudian turun di Stasiun Tanjung Barat,Positif
Teddyku66657810 PT_Transjakarta Pilihan 3 Naik 7D jurusan Pancoran turun di Cawang UKI lalu naik Koridor 10 jurusan Tanjung Priok turun di Stasiun Jatinegara lalu naik Koridor 11 jurusan Pulo Gebang turun di Stasiun Klender lalu naik KRL jurusan Kampung Bandan/Angke via Manggarai turun di Manggarai,Positif
thestoryan Guys jangan lupa setelah Stasiun Jatinegara sekarang ada Stasiun Matraman Tadi banyak yang salah turun dikirain udah sampe…,Positif
thestoryan Guys jangan lupa setelah Stasiun Jatinegara sekarang ada Stasiun Matraman Tadi banyak yang salah turun dikirain udah sampe…,Positif
txtdrjkt terus dia gabut gitu krl aja gak berhenti di gambirsekarang jarak jauh gak juga disitu teruss doi bakal buat syuting film stasiun hantu gambirtuker guling ama Manggarai,Negatif
vouzmegyu caratstalk Naik ka Bandara aja nder turun di stasiun manggarai setauku cuma 30k Nanti dari stasiun manggarai nyambung krl…,Positif
VP Corporate Secretary KAI Commuter Anne Purba menyebut stasiun Shelter Matraman dapat menjadi alternatif untuk mengurai kepadatan di Staisun Transit Manggarai Reporter RRI FM,Positif
walaupun berada di wilayah Jaksel tapi bukan ranahnya Pemprov Jakarta,Positif
wiwin90_ PT_Transjakarta Pilihan 3 Naik JAK51 jurusan Taman Kota turun di Pasar Rawa Jabon lalu naik JAK14 jurusan Tanah Abang turun di Stasiun Tanah Abang lalu naik KRL jurusan Bekasi/Cikarang turun di Manggarai lalu naik jurusan Nambo/Bogor turun di Tebet,Negatif
yokayok Rute Cikarang via Manggarai silakan dapat menunggu kedatangan KA di Peron jalur 3 Stasiun Tanah Abang ya atau menunggu informasi lanjut dari petugas Announcer di stasiun Tks,Negatif
,
Positif,109
Negatif,131
